season,week,league_id,league_name,roster_id,owner_id,owner_name,sleeper_id,gsis_id,name,position,team,is_starter,is_taxi,is_ir
2026,1,1312585008447262720,Where You At?,3,735940870234345472,zacquem,1192,,,,,0,0,0
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,12530,00-0040718,Travis Hunter,WR,JAX,0,0,1
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,1433,,,,,0,0,0
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,2374,,,,,0,0,0
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,3156,,,,,1,0,0
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,4663,,,,,0,0,1
2026,1,1312585008447262720,Where You At?,3,735940870234345472,zacquem,5119,,,,,0,0,1
2026,1,1312585008447262720,Where You At?,3,735940870234345472,zacquem,5857,00-0035644,Noah Fant,TE,NO,0,0,0
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,5944,,,,,0,0,0
2026,1,1312585008447262720,Where You At?,3,735940870234345472,zacquem,6130,00-0035250,Devin Singletary,RB,NYG,0,0,0
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,6803,,,,,0,0,0
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,7042,,,,,0,0,1
2026,1,1312585008447262720,Where You At?,3,735940870234345472,zacquem,7117,,,,,0,0,0
2026,1,1312585008447262720,Where You At?,3,735940870234345472,zacquem,8122,00-0037157,Bam Knight,RB,ARI,0,0,0
2026,1,1312585008447262720,Where You At?,5,300320148349276160,FYFJohnLuke,9494,00-0038976,Marvin Mims Jr.,WR,DEN,0,0,0
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,9506,00-0038951,Sean Tucker,RB,TB,0,0,0
2026,1,1328128689807818752,We can think of something funny,5,473346537234100224,MrMasculinity,11565,00-0039923,J.J. McCarthy,QB,MIN,0,0,0
2026,1,1312585008447262720,Where You At?,5,300320148349276160,FYFJohnLuke,10213,00-0038563,Tre Tucker,WR,LV,0,0,0
2026,1,1312585008447262720,Where You At?,6,473480332893483008,jmeanor,10219,00-0038611,Chris Rodriguez Jr.,RB,JAX,1,0,0
2026,1,1312585008447262720,Where You At?,3,735940870234345472,zacquem,10222,00-0039146,Jayden Reed,WR,GB,0,0,0
2026,1,1312585008447262720,Where You At?,6,473480332893483008,jmeanor,10229,00-0039067,Rashee Rice,WR,KC,1,0,0
2026,1,1312585008447262720,Where You At?,5,300320148349276160,FYFJohnLuke,10232,00-0038559,Michael Wilson,WR,ARI,0,0,0
2026,1,1312585008447262720,Where You At?,2,306149492955049984,FYFSimon,10235,00-0039021,Roschon Johnson,RB,CHI,0,0,0
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,10236,00-0038933,Dalton Kincaid,TE,BUF,0,0,0
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,1052,,,,,0,0,0
2026,1,1312585008447262720,Where You At?,2,306149492955049984,FYFSimon,10859,00-0039065,Sam LaPorta,TE,DET,1,0,0
2026,1,1312585008447262720,Where You At?,3,735940870234345472,zacquem,10880,,,,,1,0,0
2026,1,1312585008447262720,Where You At?,3,735940870234345472,zacquem,10888,,,,,0,0,0
2026,1,1312585008447262720,Where You At?,3,735940870234345472,zacquem,10891,,,,,0,0,0
2026,1,1312585008447262720,Where You At?,10,302250698769203200,patjc,10892,,,,,1,0,0
2026,1,1312585008447262720,Where You At?,10,302250698769203200,patjc,10898,,,,,1,0,0
2026,1,1312585008447262720,Where You At?,2,306149492955049984,FYFSimon,10905,,,,,0,0,1
2026,1,1312585008447262720,Where You At?,10,302250698769203200,patjc,10917,,,,,0,0,0
2026,1,1312585008447262720,Where You At?,3,735940870234345472,zacquem,10940,,,,,0,0,0
2026,1,1312585008447262720,Where You At?,4,473347412346269696,tmwrigh,10949,,,,,1,0,0
2026,1,1312585008447262720,Where You At?,6,473480332893483008,jmeanor,11199,00-0038705,Emari Demercado,RB,DAL,0,0,0
2026,1,1312585008447262720,Where You At?,9,335632087304380416,PSewell,11533,,,,,1,0,0
2026,1,1312585008447262720,Where You At?,8,339485230026981376,Lturne56,11539,,,,,1,0,0
2026,1,1312585008447262720,Where You At?,3,735940870234345472,zacquem,11559,00-0039917,Michael Penix Jr.,QB,ATL,0,0,1
2026,1,1312585008447262720,Where You At?,7,830805333189455872,thewrightdek,11560,00-0039918,Caleb Williams,QB,CHI,1,0,0
2026,1,1312585008447262720,Where You At?,1,473346537234100224,MrMasculinity,11563,00-0039732,Bo Nix,QB,DEN,0,0,0
2026,1,1312585008447262720,Where You At?,6,473480332893483008,jmeanor,11564,00-0039851,Drake Maye,QB,NE,1,0,0
2026,1,1312585008447262720,Where You At?,2,306149492955049984,FYFSimon,11565,00-0039923,J.J. McCarthy,QB,MIN,0,0,0
2026,1,1312585008447262720,Where You At?,10,302250698769203200,patjc,11566,00-0039910,Jayden Daniels,QB,WAS,1,0,0
2026,1,1312585008447262720,Where You At?,4,473347412346269696,tmwrigh,11575,00-0039875,Ray Davis,RB,BUF,0,0,0
2026,1,1312585008447262720,Where You At?,7,830805333189455872,thewrightdek,11581,00-0039811,MarShawn Lloyd,RB,GB,1,0,0
